bloque,fecha,e_wh,area_m2,KPI01_kwh_m2
12,2026-02-10,226889.9200000018,2848.88,0.07964179607424735
12,2026-02-11,198061.22782608867,2848.88,0.06952248877667316
12,2026-02-12,226706.66666667163,2848.88,0.07957747138056767
12,2026-02-13,251831.54999999702,2848.88,0.08839668571508698
12,2026-02-14,214487.78782609105,2848.88,0.07528845996535166
12,2026-02-15,86104.77565217018,2848.88,0.03022407951622047
12,2026-02-16,237794.6290909052,2848.88,0.0834695140163521
12,2026-02-17,243870.15999999642,2848.88,0.08560211732329771
12,2026-02-18,238359.57971015573,2848.88,0.08366782023467317
12,2026-02-19,219334.26999999583,2848.88,0.0769896485636446
12,2026-02-20,252611.12000000477,2848.88,0.088670326584484
12,2026-02-21,190515.15666666627,2848.88,0.0668737035840984
12,2026-02-22,80179.75,2848.88,0.028144305832467496
12,2026-02-23,213115.8666666746,2848.88,0.07480689487330971
12,2026-02-24,221656.56000000238,2848.88,0.07780480750330038
12,2026-02-25,217948.44333332777,2848.88,0.07650320242808674
12,2026-02-26,250199.04000000656,2848.88,0.08782364999579012
12,2026-02-27,245643.33333334327,2848.88,0.08622452800165091
12,2026-02-28,193092.80347827077,2848.88,0.06777849662964772
12,2026-03-01,73398.56000000238,2848.88,0.025764005503918167
12,2026-03-02,223859.01754385233,2848.88,0.07857790343708837
12,2026-03-03,241093.79328088462,2848.88,0.08462757058243402
12,2026-03-04,239042.13150523603,2848.88,0.08390740624569516
12,2026-03-05,249994.90633364022,2848.88,0.08775199598917477
12,2026-03-06,250977.07150228322,2848.88,0.08809675082919716
12,2026-03-07,208764.6615601927,2848.88,0.0732795560220833
12,2026-03-08,70312.69674186409,2848.88,0.024680820793386904
12,2026-03-09,211498.78903140128,2848.88,0.07423927614760933
12,2026-03-10,245505.86239495873,2848.88,0.08617627362154907
12,2026-03-11,228851.40473644435,2848.88,0.08033030690532572
12,2026-03-12,185115.9438584,2848.88,0.06497849816713935
15,2026-02-10,0.0,7780.01,0.0
15,2026-02-11,0.0,7780.01,0.0
15,2026-02-12,0.0,7780.01,0.0
15,2026-02-13,0.0,7780.01,0.0
15,2026-02-14,0.0,7780.01,0.0
15,2026-02-15,0.0,7780.01,0.0
15,2026-02-16,0.0,7780.01,0.0
15,2026-02-17,0.0,7780.01,0.0
15,2026-02-18,0.0,7780.01,0.0
15,2026-02-19,0.0,7780.01,0.0
15,2026-02-20,0.0,7780.01,0.0
15,2026-02-21,0.0,7780.01,0.0
15,2026-02-22,0.0,7780.01,0.0
15,2026-02-23,0.0,7780.01,0.0
15,2026-02-24,0.0,7780.01,0.0
15,2026-02-25,0.0,7780.01,0.0
15,2026-02-26,0.0,7780.01,0.0
15,2026-02-27,0.0,7780.01,0.0
15,2026-02-28,0.0,7780.01,0.0
15,2026-03-01,0.0,7780.01,0.0
15,2026-03-02,230978.62467464805,7780.01,0.029688731078063916
15,2026-03-03,845589.7651771903,7780.01,0.10868749078435506
15,2026-03-04,859644.8436974734,7780.01,0.11049405382479886
15,2026-03-05,808562.3648740649,7780.01,0.1039281909501485
15,2026-03-06,851689.7663134784,7780.01,0.10947155161927534
15,2026-03-07,445405.276418522,7780.01,0.05724996194330367
